ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AU01_5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU02_5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU04_5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU05_5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU06_5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU07_5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU09_5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AU10_5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AU12_5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
AU14_5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
AU15_5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
AU17_5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
AU18_5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
AU20_5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AU23_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
AU24_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
AU25_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
AU26_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
AU28_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AU43_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
