ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AU01_2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU02_2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU04_2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU05_2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU06_2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU07_2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU09_2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AU10_2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AU12_2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AU14_2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AU15_2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AU17_2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AU18_2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AU20_2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AU23_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AU24_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AU25_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AU26_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AU28_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AU43_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
