ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AU01_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU02_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU04_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU05_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU06_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU07_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU09_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AU10_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AU12_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AU14_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AU15_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AU17_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AU18_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AU20_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AU23_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AU24_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AU25_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AU26_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AU28_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AU43_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
